,louvain,cell type
"CD-0722-4_F1,D12",6,LMPP
"CD-0722-4_F1,E8",4,HSC
"CD-0722-4_F1,E9",9,MLP
"CD-0722-4_F1,F6",6,LMPP
"CD-0722-4_F1,G8",1,Unk=HSC
"CD-0722-4_F1,H9",0,B-NK
"CD-0722-4_F2,A6",4,HSC
"CD-0722-4_F2,B7",1,Unk=HSC
"CD-0722-4_F2,C10",9,MLP
"CD-0722-4_F2,F8",8,Unk=B-NK
"CD-0722-4_F2,F12",8,Unk=B-NK
"CD-0722-4_F3,E8",7,MEP
"CD-0722-4_F4,A11",3,MPP
"CD-0722-4_F4,D8",0,B-NK
"CD-0722-4_F4,E4",3,MPP
"CD-0722-4_F4,E10",3,MPP
"CD-0722-4_F4,F5",3,MPP
"CD-0722-4_F5,A9",8,Unk=B-NK
"CD-0722-4_F5,B6",3,MPP
"CD-0722-4_F5,B10",2,Unk=2
"CD-0722-4_F5,C12",7,MEP
"CD-0722-4_F5,D8",4,HSC
"CD-0722-4_F5,F7",2,Unk=2
"CD-0722-4_F6,D9",0,B-NK
"CD-0722-4_F6,E2",4,HSC
"CD-0722-4_F6,F7",5,Unk=5
"CD-0722-4_F6,G11",3,MPP
"CD-0722-4_F7,A6",5,Unk=5
"CD-0722-4_F7,A11",2,Unk=2
"CD-0722-4_F7,C12",6,LMPP
"CD-0722-4_F7,H8",1,Unk=HSC
"CD-0722-4_F8,A2",0,B-NK
"CD-0722-4_F8,A4",3,MPP
"CD-0722-4_F8,B3",3,MPP
"CD-0722-4_F8,B9",2,Unk=2
"CD-0722-4_F8,B12",0,B-NK
"CD-0722-4_F8,E6",0,B-NK
"CD-0722-4_F8,E8",4,HSC
"CD-0722-4_F9,G5",0,B-NK
"CD-0722-4_F10,B4",0,B-NK
"CD-0722-4_F10,B9",2,Unk=2
"CD-0722-4_F10,C12",1,Unk=HSC
"CD-0722-4_F10,E1",4,HSC
"CD-0722-4_F10,G10",4,HSC
"CD-0722-4_F10,H1",0,B-NK
"CD-0722-4_F10,H8",6,LMPP
"CD-0722-4_F11,C2",3,MPP
